"zip","population","city","county"
"43570",3386,"West Unity","Williams"
"44452",3383,"North Lima","Mahoning"
"44491",3372,"West Farmington","Trumbull"
"45784",3365,"Vincent","Washington"
"44704",3329,"Canton","Stark"
"43107",3320,"Bremen","Fairfield"
"44253",3291,"Litchfield","Medina"
"45064",3274,"Somerville","Butler"
"45742",3233,"Little Hocking","Washington"
"43943",3227,"Rayland","Jefferson"
"43447",3214,"Millbury","Wood"
"45832",3207,"Convoy","Van Wert"
"45390",3202,"Union City","Darke"
"43557",3201,"Stryker","Williams"
"43787",3200,"Stockport","Morgan"
"44864",3198,"Perrysville","Ashland"
"44085",3195,"Rome","Ashtabula"
"44288",3164,"Windham","Portage"
"44428",3154,"Kinsman","Trumbull"
"44445",3153,"New Waterford","Columbiana"
"43945",3139,"Salineville","Columbiana"
"44040",3086,"Gates Mills","Cuyahoga"
"45613",3082,"Beaver","Pike"
"45370",3080,"Spring Valley","Greene"
"44264",3072,"Peninsula","Summit"
"45845",3062,"Fort Loramie","Shelby"
"44880",3043,"Sullivan","Ashland"
"44878",3028,"Shiloh","Richland"
"44840",3013,"Jeromesville","Ashland"
"45629",3009,"Franklin Furnace","Scioto"
"44451",2995,"North Jackson","Mahoning"
"44645",2995,"Marshallville","Wayne"
"43416",2970,"Elmore","Ottawa"
"45645",2963,"Kitts Hill","Lawrence"
"43314",2943,"Caledonia","Marion"
"43748",2938,"Junction City","Perry"
"43518",2937,"Edon","Williams"
"43917",2934,"Dillonvale","Jefferson"
"43521",2931,"Fayette","Fulton"
"45880",2923,"Payne","Paulding"
"43773",2896,"Quaker City","Guernsey"
"44275",2893,"Spencer","Medina"
"43569",2887,"Weston","Wood"
"44402",2882,"Bristolville","Trumbull"
"44629",2877,"Gnadenhutten","Tuscarawas"
"45054",2837,"Oregonia","Warren"
"44688",2831,"Waynesburg","Stark"
"45203",2828,"Cincinnati","Hamilton"
"45882",2813,"Rockford","Mercer"
"45647",2811,"Londonderry","Ross"
"45844",2808,"Fort Jennings","Putnam"
