zip code,population
43734,"1,912"
45729,"1,909"
45359,"1,903"
45896,"1,901"
43045,"1,899"
44675,"1,898"
45101,"1,893"
45153,"1,893"
44620,"1,889"
43115,"1,883"
45812,"1,876"
45337,"1,874"
44807,"1,874"
44082,"1,874"
45634,"1,873"
43986,"1,870"
43148,"1,870"
43360,"1,861"
44276,"1,861"
43443,"1,858"
43837,"1,854"
44613,"1,850"
45433,"1,835"
44634,"1,829"
45684,"1,823"
43772,"1,796"
43749,"1,787"
43106,"1,770"
45148,"1,753"
44404,"1,737"
45616,"1,734"
44308,"1,723"
43556,"1,712"
43406,"1,710"
45333,"1,701"
43534,"1,694"
43755,"1,687"
45363,"1,680"
44010,"1,671"
44669,"1,666"
43716,"1,665"
45685,"1,629"
44804,"1,605"
45768,"1,597"
44455,"1,583"
45853,"1,577"
45681,"1,575"
45889,"1,573"
43976,"1,560"
45881,"1,556"
43013,"1,547"
44235,"1,539"
44817,"1,524"
45657,"1,496"
44449,"1,495"
45862,"1,489"
43760,"1,485"
43332,"1,482"
44855,"1,475"
44853,"1,458"
44064,"1,447"
43802,"1,445"
44854,"1,445"
45735,"1,444"
45772,"1,435"
43747,"1,434"
44826,"1,432"
44417,"1,426"
43540,"1,423"
43732,"1,421"
43457,"1,418"
43533,"1,418"
45836,"1,417"
44625,"1,405"
43754,"1,386"
43347,"1,381"
45745,"1,370"
43549,"1,368"
44682,"1,354"
44250,"1,345"
43963,"1,339"
45699,"1,337"
43728,"1,330"
45761,"1,325"
44695,"1,323"
43727,"1,323"
45326,"1,316"
45168,"1,295"
43778,"1,285"
44032,"1,284"
45146,"1,279"
43320,"1,258"
45672,"1,252"
45863,"1,236"
43840,"1,235"
43451,"1,223"
45743,"1,218"
45362,"1,216"
44427,"1,211"
44325,"1,202"
43067,"1,199"
43913,"1,192"
45766,"1,189"
45339,"1,189"
43343,"1,173"
43766,"1,171"
43915,"1,170"
43432,"1,164"
44638,"1,149"
45321,"1,139"
44418,"1,136"
43524,"1,126"
45382,"1,124"
43908,"1,120"
